Timestamp,Raw,Voltage
2025-09-21 23:53:30.590521,321,0.26
2025-09-21 23:53:30.600954,105,0.08
2025-09-21 23:53:30.611262,176,0.14
2025-09-21 23:53:30.620657,26,0.02
2025-09-21 23:53:30.629008,0,0.0
2025-09-21 23:53:30.640631,144,0.12
2025-09-21 23:53:30.651117,227,0.18
2025-09-21 23:53:30.661589,168,0.14
2025-09-21 23:53:30.670831,55,0.04
2025-09-21 23:53:30.680230,25,0.02
2025-09-21 23:53:30.689691,46,0.04
2025-09-21 23:53:30.698645,0,0.0
2025-09-21 23:53:30.709732,71,0.06
2025-09-21 23:53:30.720713,256,0.21
2025-09-21 23:53:30.731104,275,0.22
2025-09-21 23:53:30.741460,256,0.21
2025-09-21 23:53:30.751910,396,0.32
2025-09-21 23:53:30.762264,224,0.18
2025-09-21 23:53:30.772833,106,0.09
2025-09-21 23:53:30.782061,80,0.06
2025-09-21 23:53:30.792546,239,0.19
2025-09-21 23:53:30.804124,4095,3.3
2025-09-21 23:53:30.814481,655,0.53
2025-09-21 23:53:30.825884,4095,3.3
2025-09-21 23:53:30.836354,319,0.26
2025-09-21 23:53:30.846694,249,0.2
2025-09-21 23:53:30.857058,221,0.18
2025-09-21 23:53:30.866562,94,0.08
2025-09-21 23:53:30.875755,67,0.05
2025-09-21 23:53:30.886327,125,0.1
2025-09-21 23:53:30.896730,198,0.16
2025-09-21 23:53:30.907103,149,0.12
2025-09-21 23:53:30.917524,331,0.27
2025-09-21 23:53:30.928062,190,0.15
2025-09-21 23:53:30.938240,208,0.17
2025-09-21 23:53:30.948673,658,0.53
2025-09-21 23:53:30.959174,562,0.45
2025-09-21 23:53:30.969507,368,0.3
2025-09-21 23:53:30.980130,579,0.47
2025-09-21 23:53:30.990453,406,0.33
2025-09-21 23:53:31.000766,495,0.4
2025-09-21 23:53:31.011510,206,0.17
2025-09-21 23:53:31.021690,297,0.24
2025-09-21 23:53:31.032015,342,0.28
2025-09-21 23:53:31.042356,400,0.32
2025-09-21 23:53:31.052791,842,0.68
2025-09-21 23:53:31.063193,834,0.67
2025-09-21 23:53:31.073637,842,0.68
2025-09-21 23:53:31.084116,847,0.68
2025-09-21 23:53:31.094451,838,0.68
2025-09-21 23:53:31.104882,832,0.67
2025-09-21 23:53:31.115277,837,0.67
2025-09-21 23:53:31.125711,841,0.68
2025-09-21 23:53:31.136099,835,0.67
2025-09-21 23:53:31.147657,4095,3.3
2025-09-21 23:53:31.159128,4095,3.3
2025-09-21 23:53:31.170447,4095,3.3
2025-09-21 23:53:31.181982,4095,3.3
2025-09-21 23:53:31.193394,2653,2.14
2025-09-21 23:53:31.204821,1232,0.99
2025-09-21 23:53:31.216271,1304,1.05
2025-09-21 23:53:31.226690,843,0.68
2025-09-21 23:53:31.237110,837,0.67
2025-09-21 23:53:31.247501,854,0.69
2025-09-21 23:53:31.257982,841,0.68
2025-09-21 23:53:31.268350,840,0.68
2025-09-21 23:53:31.278821,833,0.67
2025-09-21 23:53:31.289210,843,0.68
2025-09-21 23:53:31.300629,4095,3.3
2025-09-21 23:53:31.312088,4095,3.3
2025-09-21 23:53:31.323565,4095,3.3
2025-09-21 23:53:31.335075,2426,1.96
2025-09-21 23:53:31.346465,1664,1.34
2025-09-21 23:53:31.356880,838,0.68
2025-09-21 23:53:31.367279,838,0.68
2025-09-21 23:53:31.377850,843,0.68
2025-09-21 23:53:31.388061,838,0.68
2025-09-21 23:53:31.398523,835,0.67
2025-09-21 23:53:31.409042,824,0.66
2025-09-21 23:53:31.419350,841,0.68
2025-09-21 23:53:31.430790,4095,3.3
2025-09-21 23:53:31.442349,4095,3.3
2025-09-21 23:53:31.453663,4095,3.3
2025-09-21 23:53:31.465252,4095,3.3
2025-09-21 23:53:31.476570,2349,1.89
2025-09-21 23:53:31.488212,1114,0.9
2025-09-21 23:53:31.499602,1072,0.86
2025-09-21 23:53:31.510007,671,0.54
2025-09-21 23:53:31.520440,537,0.43
2025-09-21 23:53:31.530762,290,0.23
2025-09-21 23:53:31.541136,293,0.24
2025-09-21 23:53:31.550874,59,0.05
2025-09-21 23:53:31.561178,144,0.12
2025-09-21 23:53:31.571462,128,0.1
2025-09-21 23:53:31.581878,304,0.24
2025-09-21 23:53:31.592176,208,0.17
2025-09-21 23:53:31.602695,245,0.2
2025-09-21 23:53:31.613182,136,0.11
2025-09-21 23:53:31.623406,128,0.1
2025-09-21 23:53:31.633831,131,0.11
2025-09-21 23:53:31.644231,176,0.14
2025-09-21 23:53:31.654775,285,0.23
2025-09-21 23:53:31.665200,211,0.17
2025-09-21 23:53:31.675458,119,0.1
2025-09-21 23:53:31.686007,163,0.13
2025-09-21 23:53:31.696439,261,0.21
2025-09-21 23:53:31.706825,159,0.13
2025-09-21 23:53:31.715104,8,0.01
2025-09-21 23:53:31.724522,95,0.08
2025-09-21 23:53:31.732729,0,0.0
2025-09-21 23:53:31.743146,197,0.16
2025-09-21 23:53:31.753579,247,0.2
2025-09-21 23:53:31.764136,254,0.2
2025-09-21 23:53:31.774384,151,0.12
2025-09-21 23:53:31.784929,169,0.14
2025-09-21 23:53:31.794180,80,0.06
2025-09-21 23:53:31.804581,101,0.08
2025-09-21 23:53:31.814011,91,0.07
2025-09-21 23:53:31.824394,112,0.09
2025-09-21 23:53:31.834988,165,0.13
2025-09-21 23:53:31.844163,77,0.06
2025-09-21 23:53:31.854681,195,0.16
2025-09-21 23:53:31.865064,197,0.16
2025-09-21 23:53:31.874476,67,0.05
2025-09-21 23:53:31.884881,143,0.12
2025-09-21 23:53:31.893105,5,0.0
2025-09-21 23:53:31.903487,120,0.1
2025-09-21 23:53:31.913960,222,0.18
2025-09-21 23:53:31.924353,165,0.13
2025-09-21 23:53:31.934877,304,0.24
2025-09-21 23:53:31.945173,400,0.32
2025-09-21 23:53:31.955649,511,0.41
2025-09-21 23:53:31.966013,439,0.35
2025-09-21 23:53:31.976383,299,0.24
2025-09-21 23:53:31.986805,286,0.23
2025-09-21 23:53:31.997287,241,0.19
2025-09-21 23:53:32.008804,4095,3.3
2025-09-21 23:53:32.019131,843,0.68
2025-09-21 23:53:32.029632,838,0.68
2025-09-21 23:53:32.041008,4095,3.3
2025-09-21 23:53:32.052530,4095,3.3
2025-09-21 23:53:32.063867,4095,3.3
2025-09-21 23:53:32.075362,4095,3.3
2025-09-21 23:53:32.086901,1998,1.61
2025-09-21 23:53:32.098200,1360,1.1
2025-09-21 23:53:32.108750,663,0.53
2025-09-21 23:53:32.119060,931,0.75
2025-09-21 23:53:32.129478,418,0.34
2025-09-21 23:53:32.139896,413,0.33
2025-09-21 23:53:32.150382,451,0.36
2025-09-21 23:53:32.160822,404,0.33
2025-09-21 23:53:32.171315,195,0.16
2025-09-21 23:53:32.181498,225,0.18
2025-09-21 23:53:32.192038,177,0.14
2025-09-21 23:53:32.202357,835,0.67
2025-09-21 23:53:32.212878,838,0.68
2025-09-21 23:53:32.223302,835,0.67
2025-09-21 23:53:32.233593,839,0.68
2025-09-21 23:53:32.244063,842,0.68
2025-09-21 23:53:32.255434,4095,3.3
2025-09-21 23:53:32.265875,827,0.67
2025-09-21 23:53:32.276265,841,0.68
2025-09-21 23:53:32.286659,840,0.68
2025-09-21 23:53:32.297159,841,0.68
2025-09-21 23:53:32.308531,4095,3.3
2025-09-21 23:53:32.320249,4095,3.3
