Timestamp,Raw,Voltage
2025-09-22 00:31:16.583864,407,0.33
2025-09-22 00:31:16.684034,215,0.17
2025-09-22 00:31:16.784033,285,0.23
2025-09-22 00:31:16.884063,316,0.25
2025-09-22 00:31:16.984107,507,0.41
2025-09-22 00:31:17.084034,317,0.26
2025-09-22 00:31:17.184265,418,0.34
2025-09-22 00:31:17.282973,98,0.08
2025-09-22 00:31:17.384013,731,0.59
2025-09-22 00:31:17.482987,65,0.05
2025-09-22 00:31:17.584218,208,0.17
2025-09-22 00:31:17.684290,171,0.14
2025-09-22 00:31:17.783084,80,0.06
2025-09-22 00:31:17.883998,237,0.19
2025-09-22 00:31:17.984135,393,0.32
2025-09-22 00:31:18.084145,179,0.14
2025-09-22 00:31:18.184117,183,0.15
2025-09-22 00:31:18.283119,64,0.05
2025-09-22 00:31:18.384146,141,0.11
2025-09-22 00:31:18.484000,203,0.16
2025-09-22 00:31:18.584126,389,0.31
2025-09-22 00:31:18.684026,229,0.18
2025-09-22 00:31:18.784254,166,0.13
2025-09-22 00:31:18.884105,441,0.36
2025-09-22 00:31:18.983225,95,0.08
2025-09-22 00:31:19.084007,274,0.22
2025-09-22 00:31:19.184052,317,0.26
2025-09-22 00:31:19.284235,355,0.29
2025-09-22 00:31:19.384043,190,0.15
2025-09-22 00:31:19.484101,144,0.12
2025-09-22 00:31:19.584014,113,0.09
2025-09-22 00:31:19.684003,361,0.29
2025-09-22 00:31:19.784250,138,0.11
2025-09-22 00:31:19.884111,124,0.1
2025-09-22 00:31:19.984144,293,0.24
2025-09-22 00:31:20.083132,99,0.08
2025-09-22 00:31:20.183999,235,0.19
2025-09-22 00:31:20.284117,100,0.08
2025-09-22 00:31:20.384026,189,0.15
2025-09-22 00:31:20.484867,338,0.27
2025-09-22 00:31:20.584648,138,0.11
2025-09-22 00:31:20.684240,179,0.14
2025-09-22 00:31:20.783092,66,0.05
2025-09-22 00:31:20.882976,17,0.01
2025-09-22 00:31:20.984205,736,0.59
2025-09-22 00:31:21.083220,17,0.01
2025-09-22 00:31:21.184135,144,0.12
2025-09-22 00:31:21.282071,0,0.0
2025-09-22 00:31:21.384115,108,0.09
2025-09-22 00:31:21.484205,372,0.3
2025-09-22 00:31:21.584101,297,0.24
2025-09-22 00:31:21.684024,110,0.09
2025-09-22 00:31:21.784024,269,0.22
2025-09-22 00:31:21.884175,564,0.45
2025-09-22 00:31:21.984096,122,0.1
2025-09-22 00:31:22.084147,374,0.3
2025-09-22 00:31:22.182974,80,0.06
2025-09-22 00:31:22.284103,235,0.19
