Timestamp,Raw,Voltage
2025-09-22 00:34:59.614532,329,0.27
2025-09-22 00:34:59.714810,379,0.31
2025-09-22 00:34:59.814814,884,0.71
2025-09-22 00:34:59.914895,340,0.27
2025-09-22 00:35:00.014688,735,0.59
2025-09-22 00:35:00.114671,374,0.3
2025-09-22 00:35:00.214741,476,0.38
2025-09-22 00:35:00.313647,66,0.05
2025-09-22 00:35:00.414668,528,0.43
2025-09-22 00:35:00.514771,225,0.18
2025-09-22 00:35:00.614737,149,0.12
2025-09-22 00:35:00.712606,0,0.0
2025-09-22 00:35:00.814867,472,0.38
2025-09-22 00:35:00.913683,80,0.06
2025-09-22 00:35:01.014671,569,0.46
2025-09-22 00:35:01.114703,178,0.14
2025-09-22 00:35:01.214765,160,0.13
2025-09-22 00:35:01.314700,230,0.19
2025-09-22 00:35:01.414754,177,0.14
2025-09-22 00:35:01.514757,833,0.67
2025-09-22 00:35:01.614727,160,0.13
2025-09-22 00:35:01.714703,811,0.65
2025-09-22 00:35:01.814681,675,0.54
2025-09-22 00:35:01.914813,287,0.23
2025-09-22 00:35:02.014679,733,0.59
2025-09-22 00:35:02.114700,306,0.25
2025-09-22 00:35:02.214753,707,0.57
2025-09-22 00:35:02.314699,194,0.16
2025-09-22 00:35:02.414775,112,0.09
2025-09-22 00:35:02.512744,0,0.0
2025-09-22 00:35:02.613671,97,0.08
2025-09-22 00:35:02.714775,151,0.12
2025-09-22 00:35:02.815723,1053,0.85
2025-09-22 00:35:02.914704,241,0.19
2025-09-22 00:35:03.014785,393,0.32
2025-09-22 00:35:03.114744,413,0.33
2025-09-22 00:35:03.214702,224,0.18
2025-09-22 00:35:03.314776,966,0.78
2025-09-22 00:35:03.414666,378,0.3
2025-09-22 00:35:03.515858,4095,3.3
2025-09-22 00:35:03.615742,1409,1.14
2025-09-22 00:35:03.715718,1071,0.86
2025-09-22 00:35:03.815724,1226,0.99
2025-09-22 00:35:03.915737,1710,1.38
2025-09-22 00:35:04.012592,0,0.0
2025-09-22 00:35:04.112604,0,0.0
2025-09-22 00:35:04.215862,1072,0.86
2025-09-22 00:35:04.315725,1857,1.5
2025-09-22 00:35:04.415968,1727,1.39
2025-09-22 00:35:04.515872,2810,2.26
2025-09-22 00:35:04.614802,429,0.35
2025-09-22 00:35:04.714676,350,0.28
2025-09-22 00:35:04.815758,2598,2.09
2025-09-22 00:35:04.914670,294,0.24
2025-09-22 00:35:05.014813,155,0.12
2025-09-22 00:35:05.113779,51,0.04
2025-09-22 00:35:05.213734,57,0.05
2025-09-22 00:35:05.312592,0,0.0
2025-09-22 00:35:05.414668,237,0.19
2025-09-22 00:35:05.515875,2719,2.19
2025-09-22 00:35:05.613756,19,0.02
2025-09-22 00:35:05.715863,1161,0.94
2025-09-22 00:35:05.814675,740,0.6
2025-09-22 00:35:05.914724,784,0.63
2025-09-22 00:35:06.012615,0,0.0
2025-09-22 00:35:06.114753,949,0.76
2025-09-22 00:35:06.214806,352,0.28
2025-09-22 00:35:06.314669,208,0.17
2025-09-22 00:35:06.414721,594,0.48
2025-09-22 00:35:06.514798,595,0.48
2025-09-22 00:35:06.613668,77,0.06
2025-09-22 00:35:06.714691,336,0.27
2025-09-22 00:35:06.814734,656,0.53
2025-09-22 00:35:06.914692,167,0.13
2025-09-22 00:35:07.012602,7,0.01
2025-09-22 00:35:07.114670,253,0.2
2025-09-22 00:35:07.213620,23,0.02
2025-09-22 00:35:07.314810,366,0.29
2025-09-22 00:35:07.414672,257,0.21
2025-09-22 00:35:07.514674,107,0.09
2025-09-22 00:35:07.615720,1307,1.05
2025-09-22 00:35:07.714782,160,0.13
2025-09-22 00:35:07.814772,590,0.48
2025-09-22 00:35:07.914703,133,0.11
2025-09-22 00:35:08.014916,187,0.15
2025-09-22 00:35:08.114672,180,0.15
2025-09-22 00:35:08.214914,416,0.34
2025-09-22 00:35:08.314681,144,0.12
2025-09-22 00:35:08.414667,157,0.13
2025-09-22 00:35:08.514787,793,0.64
2025-09-22 00:35:08.613618,50,0.04
2025-09-22 00:35:08.713732,94,0.08
