Timestamp,Raw,Voltage,digital_norm,Label
2025-09-22 00:37:33.178982,442,0.36,0.10793650793650794,0
2025-09-22 00:37:33.279332,499,0.4,0.12185592185592185,0
2025-09-22 00:37:33.379121,304,0.24,0.07423687423687424,0
2025-09-22 00:37:33.479248,235,0.19,0.057387057387057384,0
2025-09-22 00:37:33.579316,198,0.16,0.04835164835164835,0
2025-09-22 00:37:33.679255,176,0.14,0.04297924297924298,0
2025-09-22 00:37:33.779190,256,0.21,0.06251526251526252,0
2025-09-22 00:37:33.879107,140,0.11,0.03418803418803419,0
2025-09-22 00:37:33.979246,151,0.12,0.036874236874236875,0
2025-09-22 00:37:34.079122,298,0.24,0.07277167277167278,0
2025-09-22 00:37:34.179223,176,0.14,0.04297924297924298,0
2025-09-22 00:37:34.278206,99,0.08,0.024175824175824177,0
2025-09-22 00:37:34.379325,397,0.32,0.09694749694749695,0
2025-09-22 00:37:34.478186,73,0.06,0.017826617826617826,0
2025-09-22 00:37:34.579237,217,0.17,0.05299145299145299,0
2025-09-22 00:37:34.679133,169,0.14,0.04126984126984127,0
2025-09-22 00:37:34.779113,140,0.11,0.03418803418803419,0
2025-09-22 00:37:34.879298,113,0.09,0.027594627594627594,0
2025-09-22 00:37:34.980242,1633,1.32,0.3987789987789988,0
2025-09-22 00:37:35.080404,1041,0.84,0.2542124542124542,0
2025-09-22 00:37:35.179179,233,0.19,0.0568986568986569,0
2025-09-22 00:37:35.279318,817,0.66,0.19951159951159952,0
2025-09-22 00:37:35.379261,278,0.22,0.06788766788766788,0
2025-09-22 00:37:35.479200,602,0.49,0.147008547008547,0
2025-09-22 00:37:35.579322,903,0.73,0.2205128205128205,0
2025-09-22 00:37:35.680348,2307,1.86,0.5633699633699634,0
2025-09-22 00:37:35.779219,374,0.3,0.09133089133089133,0
2025-09-22 00:37:35.879179,240,0.19,0.05860805860805861,0
2025-09-22 00:37:35.979163,178,0.14,0.043467643467643466,0
2025-09-22 00:37:36.079323,327,0.26,0.07985347985347985,0
2025-09-22 00:37:36.178173,53,0.04,0.012942612942612943,0
2025-09-22 00:37:36.279137,112,0.09,0.02735042735042735,0
